Country,year,population,country_ISO,
Belgium,1960,9128824,BEL,
Belgium,1961,9178154,BEL,
Belgium,1962,9189741,BEL,
Belgium,1963,9251414,BEL,
Belgium,1964,9328126,BEL,
Belgium,1965,9428100,BEL,
Belgium,1966,9499234,BEL,
Belgium,1967,9556380,BEL,
Belgium,1968,9605601,BEL,
Belgium,1969,9631910,BEL,
Belgium,1970,9660154,BEL,
Belgium,1971,9650944,BEL,
Belgium,1972,9695379,BEL,
Belgium,1973,9726850,BEL,
Belgium,1974,9756590,BEL,
Belgium,1975,9788248,BEL,
Belgium,1976,9813152,BEL,
Belgium,1977,9823302,BEL,
Belgium,1978,9837413,BEL,
Belgium,1979,9841654,BEL,
Belgium,1980,9855110,BEL,
Belgium,1981,9863374,BEL,
Belgium,1982,9854589,BEL,
Belgium,1983,9858017,BEL,
Belgium,1984,9853023,BEL,
Belgium,1985,9857721,BEL,
Belgium,1986,9858895,BEL,
Belgium,1987,9864751,BEL,
Belgium,1988,9875716,BEL,
Belgium,1989,9927612,BEL,
Belgium,1990,9947782,BEL,
Belgium,1991,9986975,BEL,
Belgium,1992,10021997,BEL,
Belgium,1993,10068319,BEL,
Belgium,1994,10100631,BEL,
Belgium,1995,10130574,BEL,
Belgium,1996,10143047,BEL,
Belgium,1997,10170226,BEL,
Belgium,1998,10192264,BEL,
Belgium,1999,10213752,BEL,
Belgium,2000,10239085,BEL,
Belgium,2001,10263414,BEL,
Belgium,2002,10309725,BEL,
Belgium,2003,10355844,BEL,
Belgium,2004,10396421,BEL,
Belgium,2005,10445852,BEL,
Belgium,2006,10511382,BEL,
Belgium,2007,10584534,BEL,
Belgium,2008,10666866,BEL,
Belgium,2009,10753080,BEL,
Belgium,2010,10839905,BEL,
Belgium,2011,11000638,BEL,
Belgium,2012,11075889,BEL,
Belgium,2013,11137974,BEL,
Belgium,2014,11180840,BEL,
Belgium,2015,11237274,BEL,
Belgium,2016,11311117,BEL,
Belgium,2017,11351727,BEL,
Belgium,2018,11398589,BEL,
Belgium,2019,11455519,BEL,
Belgium,2020,11522440,BEL,
Belgium,2021,11554767,BEL,
Denmark,1960,4565455,DNK,
Denmark,1961,4593750,DNK,
Denmark,1962,4629624,DNK,
Denmark,1963,4665829,DNK,
Denmark,1964,4703136,DNK,
Denmark,1965,4741008,DNK,
Denmark,1966,4777015,DNK,
Denmark,1967,4817746,DNK,
Denmark,1968,4852962,DNK,
